entity,ner
ئەرەب بىرلەشمە خەلىپىلىكى,LOC
ئافغانىستان,LOC
ئانتىگۇئا ۋە باربۇدا,LOC
ئالبانىيە,LOC
ئەرمىنىيە,LOC
ئانگولا,LOC
ئانتاركتىكا,LOC
ئارگېنتىنا,LOC
ئاۋسترىيە,LOC
ئاۋسترالىيە,LOC
ئەزەربەيجان,LOC
بوسنىيە-گېرتسېگوۋىنا,LOC
باربادوس,LOC
بېلگىيە,LOC
بۇلغارىيە,LOC
بەھرەيىن,LOC
بېرمۇدا,LOC
بولىۋىيە,LOC
بىرازىلىيە,LOC
باھاما,LOC
بۇتان,LOC
بوتسۋانا,LOC
بېلورۇسىيە,LOC
كوكوس ئارىلى,LOC
كونگو دېموكراتىك جۇمھۇرىيىتى,LOC
ئوتتۇرا ئافرىقا جۇمھۇرىيىتى,LOC
كونگو جۇمھۇرىيىتى,LOC
شىۋىتسارىيە,LOC
پىل چىشى قىرغىقى,LOC
كۇك تاقىم ئاراللىرى,LOC
چىلى,LOC
كامېرون,LOC
جۇڭگو,LOC
كولۇمبىيە,LOC
كوستارىكا,LOC
كۇبا,LOC
روژدېستۋو ئارىلى,LOC
سىپرۇس,LOC
جىبۇتى,LOC
دانىيە,LOC
دومىنىكا جۇمھۇرىيىتى,LOC
ئالجىرىيە,LOC
ئېكۋادور,LOC
ئېستونىيە,LOC
غەربىي سەھرايى كەبىر,LOC
ئىسپانىيە,LOC
ئېفىيوپىيە,LOC
فىنلاندىيە,LOC
فىجى,LOC
فالكلاند ئارىلى,LOC
فارو ئارىلى,LOC
گرۇزىيە,LOC
گانا,LOC
گامبىيە,LOC
گۋىنىيە,LOC
ئېكۋاتور گۋىنىيىسى,LOC
گرېتسىيە,LOC
جەنۇبىي گرۇزىيە ۋە جەنۇبىي ساندۋىچ ئارىلى,LOC
گۋاتېمالا,LOC
گۋىنىيە-بىسساۋ,LOC
شياڭگاڭ,LOC
خارد ئارىلى ۋە ماكدونالد ئارىلى,LOC
كىرودىيە,LOC
ھايتى,LOC
ۋېنگىرىيە,LOC
ھىندونېزىيە,LOC
ئىرېلاندىيە,LOC
ئىسرائىلىيە,LOC
ئەنگىلىيە ھىندى ئوكيان رايونى,LOC
ئىراق,LOC
ئىران,LOC
ئىسلاندىيە,LOC
ئىتالىيە,LOC
يامايكا,LOC
ئىئوردانىيە,LOC
كېنىيە,LOC
قىرغىزىستان,LOC
كامبودژا,LOC
كورېيە,LOC
كوسوۋو,LOC
كۇۋەيت,LOC
كايمان ئارىلى,LOC
قازاقىستان,LOC
لائوس,LOC
لىۋان,LOC
سىرىلانكا,LOC
لىتۋا,LOC
لىيۇكسېمبۇرگ,LOC
لىۋىيە,LOC
ماراكەش,LOC
موناكو,LOC
مولدوۋا,LOC
ماداغاسقار,LOC
مارشال تاقىم ئاراللىرى,LOC
شىمالىي ماكېدونىيە,LOC
مالى,LOC
بېرما,LOC
موڭغۇلىيە,LOC
شىمالىي مارىئانا ئارىلى,LOC
ماۋرىتانىيە,LOC
مالتا,LOC
ماۋرىتىئۇس,LOC
مالدىۋى,LOC
مالاۋى,LOC
مالايسىيا,LOC
نامبىيە,LOC
يېڭى كالېدونىيە,LOC
نورفولك ئارىلى,LOC
نىگېرىيە,LOC
نىكاراگۇئا,LOC
گوللاندىيە,LOC
نورۋېگىيە,LOC
يېڭى زېلاندىيە,LOC
ئومان,LOC
پاناما,LOC
پېرۇ,LOC
پاپۇئا يېڭى گۋىنىيىسى,LOC
فىلىپپىن,LOC
پولشا,LOC
پورتو رىكو,LOC
پەلەستىن زېمىنى,LOC
پاراگۋاي,LOC
قاتار,LOC
رۇمىنىيە,LOC
سېربىيە,LOC
روسىيە,LOC
رىۋاندا,LOC
سەئۇدى ئەرەبىستان,LOC
سۇلايمان تاقىم ئاراللىرى,LOC
سۇدان,LOC
جەنۇبىي سۇدان,LOC
شىۋىتسىيە,LOC
سىنگاپور,LOC
سىلوۋېنىيە,LOC
سۋالبارد ۋە يان مايېن,LOC
سلوۋاكىيە,LOC
سېررالېئون,LOC
سېنېگال,LOC
سومالى,LOC
سان توم ۋە پرىنسىپ,LOC
سالۋادور,LOC
سۈرىيە,LOC
تۈركلەر ۋە كايكوس ئارىلى,LOC
چاد,LOC
فرانسىيەنىڭ جەنۇبىدىكى رايونلار,LOC
توگو,LOC
تايلاند,LOC
تاجىكىستان,LOC
تۈركمەنىستان,LOC
تۇنىس,LOC
تونگا,LOC
تۈركىيە,LOC
تىرىنىداد ۋە توباگو,LOC
تەيۋەن,LOC
تانزانىيە,LOC
ئۇكرائىنا,LOC
ئۇگاندا,LOC
ئامېرىكا كىچىك تاشقى ئاراللار,LOC
ئامېرىكا,LOC
ئۇرۇگۋاي,LOC
ئۆزبېكىستان,LOC
ۋاتىكان,LOC
ئەۋلىيا ۋىنسېنت ۋە گرېنادىنلار,LOC
ۋېنېزۇئېلا,LOC
ئەنگىلىيە ۋىرگىنىيە ئارىلى,LOC
ئامېرىكا ۋىرگىنىيە ئارىلى,LOC
ۋيېتنام,LOC
ۋاللىس ۋە فۇتۇنا,LOC
ساموئا,LOC
يەمەن,LOC
مايوت,LOC
جەنۇبى ئافرىقا,LOC
زامبىيە,LOC
زىمبابۋې,LOC
سېربىيە ۋە قاراتاغ,LOC
گوللاندىيە ئانتىلىس,LOC
ئەبۇزەبى,LOC
كابۇل,LOC
جىلغىسى,LOC
تىرانا,LOC
ۋيېنا,LOC
كانبېررا,LOC
بىريۇسسېل,LOC
سوفىيە,LOC
ماناما,LOC
پورتو-نوۋو,LOC
باندار سېرى بېگاۋان,LOC
غەربىي ئارال,LOC
سانتىياگو,LOC
بېيجىڭ,LOC
ھاۋانا,LOC
ئۇچار بېلىق كاۋىپى,LOC
پراگا,LOC
كوپېنھاگېن,LOC
سانتو دومىنگو,LOC
قاھىرە,LOC
مادرىد,LOC
سانت پېتېر پورتى,LOC
ئاككرا,LOC
ئافىنا,LOC
گۋاتېمالا شەھىرى,LOC
پورت-ئو-شاھزادە,LOC
جاكارتا,LOC
دۇبلىن,LOC
يېرۇسالېم,LOC
دوگلاس,LOC
يېڭى دېھلى,LOC
باغدات,LOC
تېھران,LOC
رىم,LOC
توكيو,LOC
نايروبى,LOC
تاراۋا,LOC
پيوڭياڭ,LOC
سېئۇل,LOC
كۇۋەيت شەھىرى,LOC
نۇر-سۇلتان,LOC
بېيرۇت,LOC
كولومبو,LOC
تىرىپولى,LOC
باماكو,LOC
سەيپەن,LOC
لۇئىس پورتى,LOC
ئەر,LOC
مېكسىكا شەھىرى,LOC
كۇئالالۇمپۇر,LOC
ئەبۇجە,LOC
ئامىستىردام,LOC
پاناما شەھىرى,LOC
پورت مورېسبى,LOC
مانىلا,LOC
ۋارشاۋا,LOC
شەرقىي ئېرۇسالىم,LOC
لىسبون,LOC
موسكۋا,LOC
رىياد,LOC
ۋىكتورىيە,LOC
ستوكھولم,LOC
سان توم,LOC
سان سالۋادور,LOC
دەمەشىق,LOC
كوكبۇرن بازىرى,LOC
ئەنقەرە,LOC
ئىسپانىيە پورتى,LOC
تەيبېي,LOC
كىيېۋ,LOC
تاشكەنت,LOC
ۋاتىكان شەھىرى,LOC
كاراكاس,LOC
يول شەھەرچىسى,LOC
سانا,LOC
ئامېرىكا قوشما شتاتلىرى,LOC
ئاندوررا,LOC
ئاۋستىرىيە,LOC
ئۆزبەكىستان,LOC
ئەرمېنىيە,LOC
بوسنىيە ۋە ھېرسېگوۋىنا,LOC
بىرلەشمە ئەرەب ئەمىرلىكلىرى,LOC
بېلورۇسسىيە,LOC
جەنۇبىي ئافرىقا,LOC
خورۋاتىيە,LOC
خىتاي,LOC
رۇسىيە,LOC
زىمبابۇۋى,LOC
سۇرىيە,LOC
شۋېتسىيە,LOC
فرانسىيە,LOC
كانادا,LOC
كرودىيە,LOC
لاتۋىيە,LOC
ليۇكسېمبۇرگ,LOC
مىسىر,LOC
نېپال,LOC
ياپونىيە,LOC
پورتۇگالىيە,LOC
چېخ جۇمھۇرىيەتى,LOC
گېرمانىيە,LOC
ۋېنگرىيە,LOC
قۇمۇل,LOC
قاراماي,LOC
تۇرپان,LOC
ئۈرۈمچی,LOC
ئاقسۇ,LOC
ئالتاي,LOC
ﺋﺎﻻﺗﺎﯞ ئېغىزى,LOC
ئارال,LOC
ئاتۇش,LOC
بەيتۈن,LOC
بۆرتالا,LOC
سانجى,LOC
فۇكاڭ,LOC
خوتەن,LOC
قەشقەر,LOC
كورلا,LOC
كۆكدالا,LOC
قۇرۇمقاش,LOC
كۈيتۇن,LOC
قورعاس,LOC
شىخەنزە,LOC
قوشئۆگۈز,LOC
باشئەگىم,LOC
تۇمشۇق,LOC
چۆچەك,LOC
ۋۇسۇ,LOC
ۋۇجياچۈ,LOC
غۇلجا,LOC
جۇڭگونىڭ,LOC
جۇڭگونى,LOC
جۇڭگوغا,LOC
جۇڭگودا,LOC
جۇڭگودىن,LOC
قىرغىزىستاننىڭ,LOC
قىرغىزىستاننى,LOC
قىرغىزىستانغا,LOC
قىرغىزىستاندا,LOC
قىرغىزىستاندىن,LOC
قازاقىستاننىڭ,LOC
قازاقىستاننى,LOC
قازاقىستانغا,LOC
قازاقىستاندا,LOC
قازاقىستاندىن,LOC
قاتارنىڭ,LOC
قاتارنى,LOC
قاتارغا,LOC
قاتاردا,LOC
قاتاردىن,LOC
سۇداننىڭ,LOC
سۇداننى,LOC
سۇدانغا,LOC
سۇداندا,LOC
سۇداندىن,LOC
رىمنىڭ,LOC
رىمنى,LOC
رىمغا,LOC
رىمدا,LOC
رىمدىن,LOC
ئەرنىڭ,LOC
ئەرنى,LOC
ئەرگە,LOC
ئەردە,LOC
ئەردىن,LOC
ئالتاينىڭ,LOC
ئالتاينى,LOC
ئالتايغا,LOC
ئالتايدا,LOC
ئالتايدىن,LOC
ئارالنىڭ,LOC
ئارالنى,LOC
ئارالغا,LOC
ئارالدا,LOC
ئارالدىن,LOC
تۇمشۇقنىڭ,LOC
تۇمشۇقنى,LOC
تۇمشۇققا,LOC
تۇمشۇقتا,LOC
تۇمشۇقتىن,LOC
چۆچەكنىڭ,LOC
چۆچەكنى,LOC
چۆچەككە,LOC
چۆچەكتە,LOC
چۆچەكتىن,LOC
غۇلجىنىڭ,LOC
غۇلجىنى,LOC
غۇلجىغا,LOC
غۇلجىدا,LOC
غۇلجىدىن,LOC
ئابادان,LOC
ئابباسىيلار,LOC
ئاتلانتىك ئوكيان,LOC
ئادانا,LOC
ئادىياما,LOC
ئار,LOC
ئاستانا,ORG
ئاسىيا,LOC
ئاشخاباد,LOC
ئافرىقا,LOC
ئاق ئاغمىخان,LOC
ئاقمولا ئوبلاستى,LOC
ئالاقاغا بازىرى,LOC
ئالجىر,LOC
ئالما شىركىتى,ORG
ئالماس,PER
ئامازون,ORG
ئاممان,LOC
ئامىرخان,PER
ئاناتول فرانس,PER
ئانتاركتىدا,LOC
ئاند تاغلىرى,LOC
ئاي,LOC
ئورمان,ORG
ئوساكا,LOC
ئوستىيىن,PER
ئوسلو,LOC
ئوش,LOC
ئوش ئوبلاستى,LOC
ئوكلاخوما شىتاتى,LOC
ئوكيان,LOC
ئويتاغ بازىرى,LOC
ئىدلىب,LOC
ئىدو,ORG
ئىزمىت,LOC
ئىسلامئاباد,LOC
ئىللىنويىز شىتاتى,LOC
ئىمام شافىئىي,PER
ئىمام مالىك,PER
ئىندىي,LOC
الابن كارل,ORG
امينة ساندال,PER
باراق,PER
باراك ئوباما,PER
بارس,ORG
باسكن روبنز,ORG
باغداد,LOC
بالزاك,PER
برغر كينغ,ORG
بروكولى,PER
برىسبان,LOC
بوتاش,ORG
بىرما,LOC
بىل كلىنتون,PER
بيتزا هت,ORG
بيوند,ORG
تاتارىستان,LOC
تاراز,ORG
تارانتو,ORG
تاركان,PER
تارماشىرىن,PER
تاشقورغان بازىرى,LOC
تالاس ئوبلاستى,LOC
تبىلىسى,LOC
توقماق,LOC
توك بانكىسى,ORG
تىراختور,ORG
تىران ئارىلى,LOC
جالالئاباد ئوبلاستى,LOC
جامىس جويىس,PER
جىبرىئىل,PER
خانوي,LOC
خوككايدو ئارىلى,LOC
خونسيو ئارىلى,LOC
داغىستان,LOC
داكا,LOC
داكار,LOC
دومىنىكا,LOC
دىدى,ORG
دىلى,LOC
رابات,LOC
رانى,PER
رىمان,PER
زاردارى,PER
ساتوشى ناكاموتو,PER
ساخالىن,ORG
ساران,LOC
ساردونىكس,ORG
ساموئىل مورس,PER
سان مارىنو,LOC
سايباغ رايونى,LOC
ساينت مارتىن,LOC
ستالىن,PER
سرىلانكا,LOC
سولومون تاقىم ئاراللىرى,LOC
سىلىتسىي,LOC
شارجا,ORG
شهرزاد,PER
شىر,LOC
شىراز,LOC
شىما ساكون,PER
شىمال,LOC
شىمالىي ئاسىيا,LOC
شىمالىي قازاقىستان ئوبلاستى,LOC
فارابى,PER
فرانكلار,LOC
قار,ORG
قاراباغ,LOC
قاراخانىيلار خانلىقى,LOC
قاراغاندى ئوبلاستى,LOC
قاراماي رايونى,LOC
قازان,ORG
قاسىم سولايمانى,PER
قاغىلىق بازىرى,LOC
قاقىرا,PER
قالماقىستان,LOC
قانال,ORG
قانداغاي,ORG
قوستاناي ئوبلاستى,LOC
قوشتاغ بازىرى,LOC
قىرانبىك ماكان,PER
قىزىلئوردا ئوبلاستى,LOC
قىيىلىق تاغلار,LOC
كادىز,ORG
كادىكوي,LOC
كاربون,LOC
كارتون,ORG
كارل ماركىس,PER
كالىفورنىي,LOC
كوربين بيلو,PER
كورسىكا ئارىلى,LOC
كومور ئاراللىرى,LOC
كومى,LOC
كىتو,LOC
كىرىباتى,LOC
كىرىستال,ORG
كىنشاسا,LOC
كىنو مىللىتى,LOC
لائوس تىلى,LOC
لودز,LOC
لومبارد,LOC
لى شى,PER
لىما,LOC
م,LOC
ماتادى,LOC
مادراس,LOC
مارتىنىكا,LOC
مارمارا رايونى,LOC
مارى,LOC
مافىيا,ORG
مانخاتتان ئارىلى,LOC
ماي,PER
مايتاغ رايونى,LOC
موزامبىك,LOC
موناكو,ORG
مىنىسكى,LOC
نارىن ئوبلاستى,LOC
ناسا,ORG
نامازلار,PER
نويان,PER
نىكولا ساركوزى,PER
يافا,ORG
يالتا,LOC
يوكوخاما,ORG
ئارنىڭ,LOC
ئارنى,LOC
ئارغا,LOC
ئاردا,LOC
ئاردىن,LOC
ئالماسنىڭ,PER
ئالماسنى,PER
ئالماسقا,PER
ئالماستا,PER
ئالماستىن,PER
ئاينىڭ,LOC
ئاينى,LOC
ئايغا,LOC
ئايدا,LOC
ئايدىن,LOC
ئورماننىڭ,ORG
ئورماننى,ORG
ئورمانغا,ORG
ئورماندا,ORG
ئورماندىن,ORG
ئوكياننىڭ,LOC
ئوكياننى,LOC
ئوكيانغا,LOC
ئوكياندا,LOC
ئوكياندىن,LOC
ئىندىينىڭ,LOC
ئىندىينى,LOC
ئىندىيغا,LOC
ئىندىيدا,LOC
ئىندىيدىن,LOC
داكىنىڭ,LOC
داكىنى,LOC
داكىغا,LOC
داكىدا,LOC
داكىدىن,LOC
راباتنىڭ,LOC
راباتنى,LOC
راباتقا,LOC
راباتتا,LOC
راباتتىن,LOC
شىرنىڭ,LOC
شىرنى,LOC
شىرغا,LOC
شىردا,LOC
شىردىن,LOC
شىمالنىڭ,LOC
شىمالنى,LOC
شىمالغا,LOC
شىمالدا,LOC
شىمالدىن,LOC
قارنىڭ,ORG
قارنى,ORG
قارغا,ORG
قاردا,ORG
قاردىن,ORG
قازاننىڭ,ORG
قازاننى,ORG
قازانغا,ORG
قازاندا,ORG
قازاندىن,ORG
قانالنىڭ,ORG
قانالنى,ORG
قانالغا,ORG
قانالدا,ORG
قانالدىن,ORG
كاربوننىڭ,LOC
كاربوننى,LOC
كاربونغا,LOC
كاربوندا,LOC
كاربوندىن,LOC
كارتوننىڭ,ORG
كارتوننى,ORG
كارتونغا,ORG
كارتوندا,ORG
كارتوندىن,ORG
كىرىستالنىڭ,ORG
كىرىستالنى,ORG
كىرىستالغا,ORG
كىرىستالدا,ORG
كىرىستالدىن,ORG
منىڭ,LOC
منى,LOC
مغا,LOC
مدا,LOC
مدىن,LOC
ماينىڭ,PER
ماينى,PER
مايغا,PER
مايدا,PER
مايدىن,PER
